wishlist_to_view_ratio,active_engagement_ratio,category_commitment_score,exploration_score,engagement_depth_score,brand_loyalty_score,wishlist_to_cart_ratio,click_engagement_rate,value_per_click,category_breadth_score,rating_concentration,repurchase
0.11428571428571428,0.43478260869565216,20.4,0.6923076923076923,11.333333333333334,1.2,0.3076923076923077,0.8571428571428571,31157.894736842107,0.5,1.26,1
0.3333333333333333,0.3684210526315789,1.4544,1.0,3.0,0.5,1.0,0.7777777777777778,1070666.6666666667,1.25,0.34743999999999997,0
0.9230769230769231,0.32432432432432434,6.5088,2.25,6.0,0.3,3.0,0.9230769230769231,859400.0,0.5,0.88592,1
0.20512820512820512,0.4268292682926829,28.0422,0.46153846153846156,13.5,1.7142857142857142,0.6153846153846154,0.8974358974358975,8458.333333333334,0.7142857142857143,1.2809400000000002,1
1.0,0.3,1.7536999999999998,0.3333333333333333,3.1666666666666665,1.0,2.3333333333333335,0.8571428571428571,52400.0,2.5,0.40612,1
0.1111111111111111,0.5,2.6296,0.8,3.8,0.8,0.2,1.1111111111111112,240000.0,0.8,0.59512,0
0.5555555555555556,0.44,3.9240000000000004,0.5714285714285714,4.8,1.2,0.7142857142857143,1.2222222222222223,45666.666666666664,0.8,0.73575,0
0.6153846153846154,0.34375,6.823099999999999,2.3333333333333335,6.2,0.25,2.6666666666666665,0.8461538461538461,50700.0,0.5,0.8804,0
0.5428571428571428,0.23943661971830985,33.46,2.1666666666666665,14.0,0.35714285714285715,3.1666666666666665,0.4857142857142857,7153.846153846154,0.2857142857142857,1.3861999999999999,1
1.6666666666666667,0.1111111111111111,0.2472,3.0,0.8,0.0,5.0,0.3333333333333333,1325500.0,2.25,0.14214,0
0.6,0.36,1.6848,0.3333333333333333,2.4,1.0,2.0,0.9,35875.0,4.5,0.32292,0
0.2,0.4,0.22769999999999999,0.25,0.9,1.5,0.25,0.8,0.0,4.5,0.1012,0
0.21428571428571427,0.41379310344827586,2.282,0.8333333333333334,2.8,0.8333333333333334,0.5,0.8571428571428571,209625.0,1.5,0.35860000000000003,0
0.09302325581395349,0.5204081632653061,29.4298,0.35,9.7,2.375,0.2,1.186046511627907,15909.09090909091,1.125,1.2136,1
0.375,0.3888888888888889,0.9554,1.3333333333333333,1.7,0.4,1.0,0.875,136666.66666666666,1.8,0.26976,0
0.5135135135135135,0.422680412371134,28.3104,0.4117647058823529,9.6,2.0,1.1176470588235294,1.1081081081081081,632846.1538461539,1.125,1.38603,1
1.4,0.3333333333333333,0.9078,0.25,1.7,1.5,1.75,1.2,714500.0,4.5,0.18156,0
0.3125,0.3,2.4447,1.4,2.9,0.5,1.0,0.5625,389166.6666666667,1.125,0.3372,0
1.1428571428571428,0.1891891891891892,14.270399999999999,2.0,6.0,0.2857142857142857,5.333333333333333,0.5,473833.3333333333,0.7142857142857143,1.74416,1
3.0,0.42857142857142855,0.48660000000000003,1.25,1.0,0.5,0.75,3.0,2875000.0,0.8333333333333334,0.38928,0
0.5714285714285714,0.3125,2.298,1.0,2.5,0.3333333333333333,2.0,0.7142857142857143,36200.0,1.6666666666666667,0.56684,0
0.75,0.3,0.8109,0.3333333333333333,1.5,1.0,1.0,0.75,426000.0,2.5,0.3604,0
0.6666666666666666,0.2857142857142857,7.5411,0.2,4.5,2.0,1.6,0.6666666666666666,439800.0,2.5,0.9496199999999999,0
0.3333333333333333,0.3333333333333333,0.7089,2.0,1.1333333333333333,0.2,1.5,0.6666666666666666,0.0,2.8,0.15012,0
